국가별,시점,경제활동참가율 (%)
뉴질랜드,2002,66.5
뉴질랜드,2003,66.3
뉴질랜드,2004,66.9
뉴질랜드,2005,67.7
뉴질랜드,2006,68.2
뉴질랜드,2007,68.4
뉴질랜드,2008,68.3
뉴질랜드,2009,67.9
뉴질랜드,2010,67.6
뉴질랜드,2011,67.9
뉴질랜드,2012,67.6
뉴질랜드,2013,67.8
뉴질랜드,2014,68.7
뉴질랜드,2015,68.8
뉴질랜드,2016,70
뉴질랜드,2017,70.9
뉴질랜드,2018,70.9
뉴질랜드,2019,70.6
뉴질랜드,2020,70.3
