국가별,시점,경상수지
스위스,2008,14359
스위스,2009,40959
스위스,2010,88316
스위스,2011,57071
스위스,2012,75135
스위스,2013,81054
스위스,2014,59088
스위스,2015,72112
스위스,2016,62621
스위스,2017,50799
스위스,2018,49095
스위스,2019,49151
스위스,2020,28094
영국,1995,-13436
영국,1996,-10329
영국,1997,-1403
영국,1998,-5273
영국,1999,-42327
영국,2000,-38147
영국,2001,-35008
영국,2002,-38485
영국,2003,-37146
영국,2004,-56207
영국,2005,-49882
영국,2006,-77503
영국,2007,-104930
영국,2008,-115711
영국,2009,-79778
영국,2010,-77464
영국,2011,-47997
영국,2012,-94588
영국,2013,-136463
영국,2014,-149410
영국,2015,-147252
영국,2016,-147720
영국,2017,-100433
영국,2018,-104799
영국,2019,-87545
영국,2020,-95421
유로지역,1999,-25867
유로지역,2000,-83833
유로지역,2001,-24224
유로지역,2002,44580
유로지역,2003,24892
유로지역,2004,81294
유로지역,2005,19188
유로지역,2006,-356
유로지역,2007,24870
유로지역,2008,-262381
유로지역,2009,-34419
유로지역,2010,-41233
유로지역,2011,-49621
유로지역,2012,128225
유로지역,2013,279346
유로지역,2014,314162
유로지역,2015,322471
유로지역,2016,366386
유로지역,2017,407657
유로지역,2018,405414
유로지역,2019,312827
유로지역,2020,290825
오세아니아,1995,
오세아니아,1996,
오세아니아,1997,
오세아니아,1998,
오세아니아,1999,
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,1995,-18671
오스트레일리아,1996,-14405
오스트레일리아,1997,-11910
오스트레일리아,1998,-17779
오스트레일리아,1999,-21794
오스트레일리아,2000,-15488
오스트레일리아,2001,-7987
오스트레일리아,2002,-16002
오스트레일리아,2003,-29308
오스트레일리아,2004,-41287
오스트레일리아,2005,-43342
오스트레일리아,2006,-45319
오스트레일리아,2007,-64161
오스트레일리아,2008,-52121
오스트레일리아,2009,-48897
오스트레일리아,2010,-44714
오스트레일리아,2011,-44431
오스트레일리아,2012,-64483
오스트레일리아,2013,-47872
오스트레일리아,2014,-43398
오스트레일리아,2015,-56959
오스트레일리아,2016,-41035
오스트레일리아,2017,-35952
오스트레일리아,2018,-29786
오스트레일리아,2019,7915
오스트레일리아,2020,34373
뉴질랜드,2000,-1738
뉴질랜드,2001,-418
뉴질랜드,2002,-1395
뉴질랜드,2003,-2124
뉴질랜드,2004,-4686
뉴질랜드,2005,-8025
뉴질랜드,2006,-7880
뉴질랜드,2007,-9323
뉴질랜드,2008,-10264
뉴질랜드,2009,-3009
뉴질랜드,2010,-3430
뉴질랜드,2011,-4823
뉴질랜드,2012,-6887
뉴질랜드,2013,-5835
뉴질랜드,2014,-6220
뉴질랜드,2015,-4769
뉴질랜드,2016,-4324
뉴질랜드,2017,-6116
뉴질랜드,2018,-8619
뉴질랜드,2019,-6843
뉴질랜드,2020,-1814
