국가별,시점,신용등급점수
파라과이,2008,5
파라과이,2009,5
파라과이,2010,6.33
파라과이,2011,8
파라과이,2012,8
파라과이,2013,8
파라과이,2014,8.67
파라과이,2015,9.33
파라과이,2016,9
파라과이,2017,9
파라과이,2018,10
파라과이,2019,10
파라과이,2020,10
파키스탄,2005,6.5
파키스탄,2006,6.5
파키스탄,2007,6.67
파키스탄,2008,4.88
파키스탄,2009,5
파키스탄,2010,5
파키스탄,2011,5
파키스탄,2012,3
파키스탄,2013,3
파키스탄,2014,3
파키스탄,2015,4.75
파키스탄,2016,6
파키스탄,2017,6
파키스탄,2018,5.33
파키스탄,2019,5
파키스탄,2020,5
페루,2005,9
페루,2006,9
페루,2007,9.6
페루,2008,10.67
페루,2009,10.5
페루,2010,11
페루,2011,11.67
페루,2012,11.67
페루,2013,12.67
페루,2014,13.5
페루,2015,13.5
페루,2016,13.5
페루,2017,13.5
페루,2018,13.5
페루,2019,13.5
페루,2020,13
포르투갈,2005,17.5
포르투갈,2006,17.5
포르투갈,2007,18
포르투갈,2008,18
포르투갈,2009,17
포르투갈,2010,15.62
포르투갈,2011,11.67
포르투갈,2012,10
포르투갈,2013,8.75
포르투갈,2014,9.71
포르투갈,2015,9.5
포르투갈,2016,10
포르투갈,2017,10.75
포르투갈,2018,11.33
포르투갈,2019,12
포르투갈,2020,12
폴란드,2005,13
폴란드,2006,13
폴란드,2007,14
폴란드,2008,14
폴란드,2009,14
폴란드,2010,14
폴란드,2011,14
폴란드,2012,14
폴란드,2013,14
폴란드,2014,14
폴란드,2015,15
폴란드,2016,14.33
폴란드,2017,15
폴란드,2018,13.5
폴란드,2019,13.5
폴란드,2020,13.5
프랑스,2005,20
프랑스,2006,20
프랑스,2007,20
프랑스,2008,20
프랑스,2009,20
프랑스,2010,20
프랑스,2011,20
프랑스,2012,19
프랑스,2013,18.33
프랑스,2014,19
프랑스,2015,18
프랑스,2016,18
프랑스,2017,18
프랑스,2018,18
프랑스,2019,18
프랑스,2020,18.75
핀란드,2005,20
핀란드,2006,20
핀란드,2007,20
핀란드,2008,20
핀란드,2009,20
핀란드,2010,20
핀란드,2011,20
핀란드,2012,20
핀란드,2013,20
핀란드,2014,19.67
핀란드,2015,19.75
핀란드,2016,19
핀란드,2017,19
핀란드,2018,19
핀란드,2019,19
핀란드,2020,19
필리핀,2005,8
필리핀,2006,8
필리핀,2007,8
필리핀,2008,7
필리핀,2009,8
필리핀,2010,9
필리핀,2011,9
필리핀,2012,9.75
필리핀,2013,10.75
필리핀,2014,12
필리핀,2015,11
필리핀,2016,11
필리핀,2017,12
필리핀,2018,12
필리핀,2019,13
필리핀,2020,12
헝가리,2005,13
헝가리,2006,14.29
헝가리,2007,13
헝가리,2008,12.83
헝가리,2009,11.75
헝가리,2010,11.5
헝가리,2011,10.6
헝가리,2012,9.67
헝가리,2013,9
헝가리,2014,9.5
헝가리,2015,10
헝가리,2016,11
헝가리,2017,11
헝가리,2018,11
헝가리,2019,12
헝가리,2020,11.67
호주,2005,20
호주,2006,20
호주,2007,20
호주,2008,20
호주,2009,20
호주,2010,20
호주,2011,20
호주,2012,20
호주,2013,20
호주,2014,20
호주,2015,20
호주,2016,20
호주,2017,20
호주,2018,20
호주,2019,20
호주,2020,20
