국가별,시점,외환보유액
슬로베니아,2010,1071
슬로베니아,2011,991
슬로베니아,2012,952
슬로베니아,2013,922
슬로베니아,2014,1016
슬로베니아,2015,856
슬로베니아,2016,743
슬로베니아,2017,890
슬로베니아,2018,933
슬로베니아,2019,1015
슬로베니아,2020,1311
스페인,2000,35608
스페인,2001,34236
스페인,2002,40303
스페인,2003,26809
스페인,2004,19759
스페인,2005,17227
스페인,2006,19340
스페인,2007,19054
스페인,2008,20245
스페인,2009,28201
스페인,2010,31915
스페인,2011,47099
스페인,2012,50588
스페인,2013,46308
스페인,2014,50351
스페인,2015,53970
스페인,2016,63144
스페인,2017,69409
스페인,2018,70650
스페인,2019,74715
스페인,2020,81318
스웨덴,2000,15134
스웨덴,2001,14239
스웨덴,2002,17411
스웨덴,2003,19991
스웨덴,2004,24775
스웨덴,2005,24890
스웨덴,2006,28023
스웨덴,2007,31037
스웨덴,2008,29717
스웨덴,2009,47291
스웨덴,2010,48300
스웨덴,2011,50349
스웨덴,2012,52234
스웨덴,2013,65383
스웨덴,2014,62499
스웨덴,2015,58107
스웨덴,2016,59386
스웨덴,2017,62216
스웨덴,2018,60567
스웨덴,2019,55490
스웨덴,2020,58279
스위스,2000,53491
스위스,2001,51670
스위스,2002,61311
스위스,2003,69585
스위스,2004,74619
스위스,2005,57640
스위스,2006,64497
스위스,2007,75372
스위스,2008,74074
스위스,2009,135255
스위스,2010,270296
스위스,2011,331872
스위스,2012,531050
스위스,2013,535851
스위스,2014,545529
스위스,2015,602709
스위스,2016,679359
스위스,2017,811196
스위스,2018,786971
스위스,2019,854804
스위스,2020,1083481
영국,2000,50911
영국,2001,47417
영국,2002,54959
영국,2003,56350
영국,2004,62138
영국,2005,59135
영국,2006,63824
영국,2007,77743
영국,2008,64738
영국,2009,79618
영국,2010,98073
영국,2011,109734
영국,2012,117093
영국,2013,118750
영국,2014,124488
영국,2015,148129
영국,2016,135044
영국,2017,150803
영국,2018,172681
영국,2019,173568
영국,2020,180129
유로지역,2000,351980
유로지역,2001,346050
유로지역,2002,383933
유로지역,2003,387351
유로지역,2004,382790
유로지역,2005,377530
유로지역,2006,429171
유로지역,2007,511156
유로지역,2008,520781
유로지역,2009,666063
유로지역,2010,789546
유로지역,2011,862814
유로지역,2012,909438
유로지역,2013,747360
유로지역,2014,743401
유로지역,2015,701396
유로지역,2016,745796
유로지역,2017,803032
유로지역,2018,823167
유로지역,2019,913603
유로지역,2020,1079105
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,2000,18817
오스트레일리아,2001,18664
오스트레일리아,2002,21567
오스트레일리아,2003,33258
오스트레일리아,2004,36926
오스트레일리아,2005,43257
오스트레일리아,2006,55079
오스트레일리아,2007,26908
오스트레일리아,2008,32924
오스트레일리아,2009,41742
오스트레일리아,2010,42268
오스트레일리아,2011,46826
오스트레일리아,2012,49147
오스트레일리아,2013,52801
오스트레일리아,2014,53893
오스트레일리아,2015,45718
오스트레일리아,2016,53586
오스트레일리아,2017,66584
오스트레일리아,2018,53875
오스트레일리아,2019,58742
오스트레일리아,2020,43006
뉴질랜드,2000,3952
뉴질랜드,2001,3565
뉴질랜드,2002,4963
뉴질랜드,2003,6085
뉴질랜드,2004,6947
뉴질랜드,2005,8893
뉴질랜드,2006,14068
뉴질랜드,2007,17247
뉴질랜드,2008,11052
뉴질랜드,2009,15594
뉴질랜드,2010,16723
